5	TGD Number	City	State	Tweet URL	Video/Image Filename	Description
107	95	Columbus	OH	https://twitter.com/greg_doucette/status/1267455512846700544	Columbus-8wH1mSmFh5x5vQzN.mp4	woman is peacefully walking away down the sidewalk So an officer randomly pepper-sprays her from behind
108	96	Detroit	MI	https://twitter.com/greg_doucette/status/1267459054839967746	Detroit-JnbouWbzA6a0-i6a.mp4	police officer yells at and pushes a man who is walking away from him, when a second cop swoops in and shoves the man to the ground, before a third cop sprays the now-helpless-on-the-ground man in the face with OC spray
109	97 (or 68a)	Fort Lauderdale	FL	https://twitter.com/greg_doucette/status/1267461804294377477	FortLauderdale-TEsqGbPe5WBacqGi.mp4	white male cop flexing his Big Boy muscles pushes a kneeling black woman down to the ground Then a black female cop pulls him aside and starts yelling at him; like 68 from a different angle, or, so good you just wanted to see it twice
110	98	Louisville	KY	https://twitter.com/greg_doucette/status/1267513121234653203	Louisville-_eQF-J6aspZd1dAH.mp4	police shoot – and kill – renowned local chef David McAtee; https://www.courier-journal.com/story/news/2020/06/01/beshear-authorizes-investigation-into-louisville-police-national-guard-shooting/5306733002/
111	99	Miami	FL	https://twitter.com/greg_doucette/status/1267519238224445442	Miami-Jx8TfE9_1sXJGKM4.mp4	police burst out of their SUV to tackle and arrest a peaceful unarmed protestors talking to them The man was charged with violating the 8:00pm curfew; original poster says the arrest happened ~5:45pm
112	100	Washington	DC	https://twitter.com/greg_doucette/status/1267520159557787649	WashingtonDC-44qOgbVQRpQZEXsd.mp4	police pin a CNN reporter against a wall while another one clubs him in the knee with a baton
113	101	Seattle	WA	https://twitter.com/greg_doucette/status/1267523455827750912	Seattle-jPWDdhI66KOzUZZW.mp4	police appear to be trying to break the glass window of whatever business this is at 2nd and Pine?
114	102	Raleigh	NC	https://twitter.com/greg_doucette/status/1267525235806527488	[audio file]	audio from police communication, admitting to using expired tear gas for crowd control
115	103	Boston	MA	https://twitter.com/greg_doucette/status/1267526684976328705	Boston-JYth2u-vJZlSvS5i.mp4	multiple police officers beat the everlasting sh*t out of two people for sport, apparently for crossing the street?
116	104	Dallas	TX	https://twitter.com/greg_doucette/status/1267528084393283584	Dallas-ZHQSo7qZ2lmv9ieZ.mp4	police shoot out the eye of an unarmed black man for sport This is at least the *4th* person whose eye has been shot out by police in the past 3 days
117	105	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267586631084752896		"LAPD sharing a jovial chuckle with a white woman as she spraypaints a building to make it look like it was done by protestors. You can even hear police suggest she write ""Floyd"" too"
118	106	Austin	TX	https://twitter.com/greg_doucette/status/1267585281223471104	AustinTX.png	Police shoot a pregnant black woman in the abdomen for sport
119	107	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267585724058087440	LosAngeles-CKdpcLQl5C5cmC6Q.mp4	police shoot a USMC veteran in the head for sport
120	108	Long Beach	CA	https://twitter.com/greg_doucette/status/1267586228045701120	LongBeachCA.png	police point a gas canister launcher at folks as a young child sits atop dad's shoulders
121	109	Nationwide		https://twitter.com/greg_doucette/status/1267586631084752896	https://www.niemanlab.org/2020/06/well-try-to-help-you-follow-the-police-attacks-on-journalists-across-the-country/	Nationwide: a compilation of at least 100 known attacks by police on reporters, compiled by @NiemanLab
122	110	Columbus	OH	https://twitter.com/greg_doucette/status/1267587659771392001	Columbus-gpMb4ABF0qw7JCkq.mp4	police officer peppersprays 2 people in the face as they silently kneel Then another officer takes their water
123	111	Indianapolis	IN	https://twitter.com/greg_doucette/status/1267588463001513984	Indianapolis-K0Ppf5Wpzn2SRww4.mp4	a half-dozen police repeatedly shoot and club a protestor for sport
124	112	Des Moines	IA	https://twitter.com/greg_doucette/status/1267591652304134153	DeMoines-hRxeOVgo07U03TW9.mp4	police teargas and arrest a Des Moines Register reporter so she'll stop tweeting updates
125	112a	Des Moines	IA	https://twitter.com/andreamsahouri/status/1267256849344221188	DesMoinesIA.png	"Last tweet from reports in #112 before her arrest, ""Tear gas used, forcing everyone to run into the street"""
126	113	Philadelphia	PA	https://twitter.com/greg_doucette/status/1267594159776501761	Philadelphia-tqqSRFQvaab15FUV.mp4	police deliberately herd protestors up an embankment against an unclimbable fence – and then repeatedly gas them all for sport
